2024-04-10 07:47:59 status unpacked gcc-10-base:amd64 10.2.1-6
2024-04-10 07:48:00 install libgcc-s1:amd64 <none> 10.2.1-6
2024-04-10 07:48:00 status half-installed libgcc-s1:amd64 10.2.1-6
2024-04-10 07:48:00 status unpacked libgcc-s1:amd64 10.2.1-6
2024-04-10 07:48:00 install libstdc++6:amd64 <none> 10.2.1-6
2024-04-10 07:48:00 status half-installed libstdc++6:amd64 10.2.1-6
2024-04-10 07:48:01 status unpacked libstdc++6:amd64 10.2.1-6
2024-04-10 07:48:01 install gcc-9-base:amd64 <none> 9.3.0-22
2024-04-10 07:48:01 status half-installed gcc-9-base:amd64 9.3.0-22
2024-04-10 07:48:01 status unpacked gcc-9-base:amd64 9.3.0-22
2024-04-10 07:48:01 install libc-bin:amd64 <none> 2.31-13+deb11u8
2024-04-10 07:48:01 status half-installed libc-bin:amd64 2.31-13+deb11u8
2024-04-10 07:48:02 status unpacked libc-bin:amd64 2.31-13+deb11u8
2024-04-10 07:48:02 upgrade libc6:amd64 2.31-13+deb11u8 2.31-13+deb11u8
2024-04-10 07:48:02 status half-configured libc6:amd64 2.31-13+deb11u8
2024-04-10 07:48:03 status unpacked libc6:amd64 2.31-13+deb11u8
2024-04-10 07:48:03 status half-installed libc6:amd64 2.31-13+deb11u8
2024-04-10 07:48:06 status unpacked libc6:amd64 2.31-13+deb11u8
2024-04-10 07:48:07 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2024-04-10 07:48:07 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2024-04-10 07:48:07 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2024-04-10 07:48:07 install gpgv:amd64 <none> 2.2.27-2+deb11u2
2024-04-10 07:48:07 status half-installed gpgv:amd64 2.2.27-2+deb11u2
2024-04-10 07:48:07 status unpacked gpgv:amd64 2.2.27-2+deb11u2
2024-04-10 07:48:08 install libgnutls30:amd64 <none> 3.7.1-5+deb11u4
2024-04-10 07:48:08 status half-installed libgnutls30:amd64 3.7.1-5+deb11u4
2024-04-10 07:48:08 status unpacked libgnutls30:amd64 3.7.1-5+deb11u4
2024-04-10 07:48:08 install grep:amd64 <none> 3.6-1+deb11u1
2024-04-10 07:48:08 status half-installed grep:amd64 3.6-1+deb11u1
2024-04-10 07:48:08 status unpacked grep:amd64 3.6-1+deb11u1
2024-04-10 07:48:09 install gzip:amd64 <none> 1.10-4+deb11u1
2024-04-10 07:48:09 status half-installed gzip:amd64 1.10-4+deb11u1
2024-04-10 07:48:09 status unpacked gzip:amd64 1.10-4+deb11u1
2024-04-10 07:48:09 install hostname:amd64 <none> 3.23
2024-04-10 07:48:09 status half-installed hostname:amd64 3.23
2024-04-10 07:48:09 status unpacked hostname:amd64 3.23
2024-04-10 07:48:09 install init-system-helpers:all <none> 1.60
2024-04-10 07:48:09 status half-installed init-system-helpers:all 1.60
2024-04-10 07:48:10 status unpacked init-system-helpers:all 1.60
2024-04-10 07:48:10 install libkeyutils1:amd64 <none> 1.6.1-2
2024-04-10 07:48:10 status half-installed libkeyutils1:amd64 1.6.1-2
2024-04-10 07:48:10 status unpacked libkeyutils1:amd64 1.6.1-2
2024-04-10 07:48:10 install libgssapi-krb5-2:amd64 <none> 1.18.3-6+deb11u4
2024-04-10 07:48:10 status half-installed libgssapi-krb5-2:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:11 status unpacked libgssapi-krb5-2:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:11 install libk5crypto3:amd64 <none> 1.18.3-6+deb11u4
2024-04-10 07:48:11 status half-installed libk5crypto3:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:11 status unpacked libk5crypto3:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:12 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u4
2024-04-10 07:48:12 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:12 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:12 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u4
2024-04-10 07:48:12 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:12 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u4
2024-04-10 07:48:13 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2024-04-10 07:48:13 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2024-04-10 07:48:13 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2024-04-10 07:48:13 install libffi7:amd64 <none> 3.3-6
2024-04-10 07:48:13 status half-installed libffi7:amd64 3.3-6
2024-04-10 07:48:13 status unpacked libffi7:amd64 3.3-6
2024-04-10 07:48:14 install libgcrypt20:amd64 <none> 1.8.7-6
2024-04-10 07:48:14 status half-installed libgcrypt20:amd64 1.8.7-6
2024-04-10 07:48:14 status unpacked libgcrypt20:amd64 1.8.7-6
2024-04-10 07:48:14 install libgpg-error0:amd64 <none> 1.38-2
2024-04-10 07:48:14 status half-installed libgpg-error0:amd64 1.38-2
2024-04-10 07:48:15 status unpacked libgpg-error0:amd64 1.38-2
2024-04-10 07:48:15 install libidn2-0:amd64 <none> 2.3.0-5
2024-04-10 07:48:15 status half-installed libidn2-0:amd64 2.3.0-5
2024-04-10 07:48:15 status unpacked libidn2-0:amd64 2.3.0-5
2024-04-10 07:48:15 install libnsl2:amd64 <none> 1.3.0-2
2024-04-10 07:48:15 status half-installed libnsl2:amd64 1.3.0-2
2024-04-10 07:48:16 status unpacked libnsl2:amd64 1.3.0-2
2024-04-10 07:48:16 install libseccomp2:amd64 <none> 2.5.1-1+deb11u1
2024-04-10 07:48:16 status half-installed libseccomp2:amd64 2.5.1-1+deb11u1
2024-04-10 07:48:17 status unpacked libseccomp2:amd64 2.5.1-1+deb11u1
2024-04-10 07:48:17 install libselinux1:amd64 <none> 3.1-3
2024-04-10 07:48:17 status half-installed libselinux1:amd64 3.1-3
2024-04-10 07:48:17 status unpacked libselinux1:amd64 3.1-3
2024-04-10 07:48:17 install libsemanage-common:all <none> 3.1-1
2024-04-10 07:48:17 status half-installed libsemanage-common:all 3.1-1
2024-04-10 07:48:18 status unpacked libsemanage-common:all 3.1-1
2024-04-10 07:48:18 install libsemanage1:amd64 <none> 3.1-1+b2
2024-04-10 07:48:18 status half-installed libsemanage1:amd64 3.1-1+b2
2024-04-10 07:48:18 status unpacked libsemanage1:amd64 3.1-1+b2
2024-04-10 07:48:19 install libsepol1:amd64 <none> 3.1-1
2024-04-10 07:48:19 status half-installed libsepol1:amd64 3.1-1
2024-04-10 07:48:19 status unpacked libsepol1:amd64 3.1-1
2024-04-10 07:48:19 install libtasn1-6:amd64 <none> 4.16.0-2+deb11u1
2024-04-10 07:48:19 status half-installed libtasn1-6:amd64 4.16.0-2+deb11u1
2024-04-10 07:48:19 status unpacked libtasn1-6:amd64 4.16.0-2+deb11u1
2024-04-10 07:48:20 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2024-04-10 07:48:20 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2024-04-10 07:48:20 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-04-10 07:48:20 install libtirpc3:amd64 <none> 1.3.1-1+deb11u1
2024-04-10 07:48:20 status half-installed libtirpc3:amd64 1.3.1-1+deb11u1
2024-04-10 07:48:20 status unpacked libtirpc3:amd64 1.3.1-1+deb11u1
2024-04-10 07:48:21 install libunistring2:amd64 <none> 0.9.10-4
2024-04-10 07:48:21 status half-installed libunistring2:amd64 0.9.10-4
2024-04-10 07:48:21 status unpacked libunistring2:amd64 0.9.10-4
2024-04-10 07:48:21 install libcrypt1:amd64 <none> 1:4.4.18-4
2024-04-10 07:48:21 status half-installed libcrypt1:amd64 1:4.4.18-4
2024-04-10 07:48:21 status unpacked libcrypt1:amd64 1:4.4.18-4
